Question_ID,first_output,second_output,compare_result
4647,output2,output7,2
4647,output3,output7,0
4647,output4,output7,2
4647,output5,output7,0
4647,output6,output7,0
4730,output1,output7,2
4730,output2,output7,0
4730,output3,output7,0
4730,output4,output7,0
4730,output5,output7,2
4730,output6,output7,0
4828,output1,output7,0
4828,output2,output7,0
4828,output3,output7,0
4828,output4,output7,0
4828,output5,output7,0
4828,output6,output7,0
4838,output1,output7,0
4838,output2,output7,0
4838,output3,output7,0
4838,output4,output7,0
4838,output5,output7,0
4838,output6,output7,0
4932,output1,output7,2
4932,output2,output7,0
4932,output3,output7,0
4932,output4,output7,2
4932,output5,output7,0
4932,output6,output7,0
4946,output1,output7,2
4946,output2,output7,0
4946,output3,output7,0
4946,output4,output7,2
4946,output5,output7,0
4946,output6,output7,0
4991,output1,output7,2
4991,output2,output7,0
4991,output3,output7,1
4991,output4,output7,0
4991,output5,output7,0
4991,output6,output7,0
5067,output1,output7,0
5067,output2,output7,0
5067,output3,output7,0
5067,output4,output7,1
5067,output5,output7,0
5067,output6,output7,1
5150,output1,output7,0
5150,output2,output7,0
5150,output3,output7,0
5150,output4,output7,0
5150,output5,output7,2
5150,output6,output7,0
5202,output1,output7,1
5202,output2,output7,0
5202,output3,output7,2
5202,output4,output7,0
5202,output5,output7,0
5202,output6,output7,0
5208,output1,output7,0
5208,output2,output7,0
5208,output3,output7,0
5208,output4,output7,1
5208,output5,output7,0
5208,output6,output7,1
5239,output1,output7,0
5239,output2,output7,0
5239,output3,output7,0
5239,output4,output7,0
5239,output5,output7,0
5239,output6,output7,0
5243,output1,output7,2
5243,output2,output7,0
5243,output3,output7,0
5243,output4,output7,2
5243,output5,output7,0
5243,output6,output7,2
5309,output1,output7,0
5309,output2,output7,0
5309,output3,output7,0
5309,output4,output7,0
5309,output5,output7,0
5309,output6,output7,1
5324,output1,output7,0
5324,output2,output7,0
5324,output3,output7,0
5324,output4,output7,0
5324,output5,output7,0
5324,output6,output7,0
5418,output1,output7,0
5418,output2,output7,2
5418,output3,output7,1
5418,output4,output7,1
5418,output5,output7,2
5418,output6,output7,2
